"Gene","Well","Ct","TDate","SamP","BioRep","Bacteria"
"cysG","Sample245",26.91,"2021-11-03","K5","df1","ybeX"
"frr","Sample246",25.28,"2021-11-03","K6","df1","ybeX"
"gyrA","Sample247",25.92,"2021-11-03","K7","df1","ybeX"
"hcaT","Sample248",28.99,"2021-11-03","K8","df1","ybeX"
"idnT","Sample249",28.67,"2021-11-03","K9","df1","ybeX"
"Lnt2","Sample250",27.63,"2021-11-03","K10","df1","ybeX"
"Lnt","Sample251",35,"2021-11-03","K11","df1","ybeX"
"miaB","Sample252",26.92,"2021-11-03","K12","df1","ybeX"
"ybeX","Sample253",35,"2021-11-03","K13","df1","ybeX"
"ybeY","Sample254",26.65,"2021-11-03","K14","df1","ybeX"
"ybeZ","Sample255",27.79,"2021-11-03","K15","df1","ybeX"
"ybeZY","Sample256",30.14,"2021-11-03","K16","df1","ybeX"
"CorA","Sample268",27.38,"2021-11-03","L4","df1","ybeX"
"cysG","Sample269",26.93,"2021-11-03","L5","df1","ybeX"
"frr","Sample270",25.33,"2021-11-03","L6","df1","ybeX"
"gyrA","Sample271",25.97,"2021-11-03","L7","df1","ybeX"
"hcaT","Sample272",28.93,"2021-11-03","L8","df1","ybeX"
"idnT","Sample273",28.66,"2021-11-03","L9","df1","ybeX"
"Lnt2","Sample274",27.66,"2021-11-03","L10","df1","ybeX"
"Lnt","Sample275",35,"2021-11-03","L11","df1","ybeX"
"miaB","Sample276",26.9,"2021-11-03","L12","df1","ybeX"
"ybeX","Sample277",35,"2021-11-03","L13","df1","ybeX"
"ybeY","Sample278",26.55,"2021-11-03","L14","df1","ybeX"
"ybeZ","Sample279",27.79,"2021-11-03","L15","df1","ybeX"
"ybeZY","Sample280",30.17,"2021-11-03","L16","df1","ybeX"
"CorA","Sample292",27.69,"2021-11-03","M4","df2","ybeX"
"cysG","Sample293",27.18,"2021-11-03","M5","df2","ybeX"
"frr","Sample294",25.67,"2021-11-03","M6","df2","ybeX"
"gyrA","Sample295",26.31,"2021-11-03","M7","df2","ybeX"
"hcaT","Sample296",29.84,"2021-11-03","M8","df2","ybeX"
"idnT","Sample297",28.97,"2021-11-03","M9","df2","ybeX"
"Lnt2","Sample298",28.02,"2021-11-03","M10","df2","ybeX"
"Lnt","Sample299",35,"2021-11-03","M11","df2","ybeX"
"miaB","Sample300",28.53,"2021-11-03","M12","df2","ybeX"
"ybeX","Sample301",35,"2021-11-03","M13","df2","ybeX"
"ybeY","Sample302",27.1,"2021-11-03","M14","df2","ybeX"
"ybeZ","Sample303",28.78,"2021-11-03","M15","df2","ybeX"
"ybeZY","Sample304",30.75,"2021-11-03","M16","df2","ybeX"
"CorA","Sample316",27.24,"2021-11-03","N4","df2","ybeX"
"cysG","Sample317",27.1,"2021-11-03","N5","df2","ybeX"
"frr","Sample318",25.53,"2021-11-03","N6","df2","ybeX"
"gyrA","Sample319",26.24,"2021-11-03","N7","df2","ybeX"
"hcaT","Sample320",29.73,"2021-11-03","N8","df2","ybeX"
"idnT","Sample321",28.98,"2021-11-03","N9","df2","ybeX"
"Lnt2","Sample322",27.97,"2021-11-03","N10","df2","ybeX"
"Lnt","Sample323",35,"2021-11-03","N11","df2","ybeX"
"miaB","Sample324",27.34,"2021-11-03","N12","df2","ybeX"
"ybeX","Sample325",35,"2021-11-03","N13","df2","ybeX"
"ybeY","Sample326",27.24,"2021-11-03","N14","df2","ybeX"
"ybeZ","Sample327",28.69,"2021-11-03","N15","df2","ybeX"
"ybeZY","Sample328",30.77,"2021-11-03","N16","df2","ybeX"
"CorA","Sample340",27.53,"2021-11-03","O4","df2","ybeX"
"cysG","Sample341",27.02,"2021-11-03","O5","df2","ybeX"
"frr","Sample342",25.48,"2021-11-03","O6","df2","ybeX"
"gyrA","Sample343",26.21,"2021-11-03","O7","df2","ybeX"
"hcaT","Sample344",29.68,"2021-11-03","O8","df2","ybeX"
"idnT","Sample345",29.03,"2021-11-03","O9","df2","ybeX"
"Lnt2","Sample346",27.99,"2021-11-03","O10","df2","ybeX"
"Lnt","Sample347",35,"2021-11-03","O11","df2","ybeX"
"miaB","Sample348",27.24,"2021-11-03","O12","df2","ybeX"
"ybeX","Sample349",35,"2021-11-03","O13","df2","ybeX"
"ybeY","Sample350",27.17,"2021-11-03","O14","df2","ybeX"
"ybeZ","Sample351",28.7,"2021-11-03","O15","df2","ybeX"
"ybeZY","Sample352",30.77,"2021-11-03","O16","df2","ybeX"
